ID,Serviço,Bairro,Prioridade,Status,Dias_Em_Andamento,Data_Abertura
1,Energia Elétrica,Vila Nova,Alta,Aberta,34,2024-01-01
2,Coleta de Lixo,Jardim das Flores,Alta,Resolvida,0,2024-01-02
3,Energia Elétrica,Bairro Alto,Alta,Encerrada,41,2024-01-03
4,Coleta de Lixo,Jardim das Flores,Alta,Resolvida,57,2024-01-04
5,Transporte Público,Residencial Sul,Média,Encerrada,59,2024-01-05
6,Energia Elétrica,Residencial Sul,Alta,Em Andamento,55,2024-01-06
7,Abastecimento de Água,Residencial Sul,Baixa,Aberta,4,2024-01-07
8,Coleta de Lixo,Parque Industrial,Baixa,Encerrada,8,2024-01-08
9,Coleta de Lixo,Vila Nova,Média,Aberta,18,2024-01-09
10,Transporte Público,Centro,Alta,Encerrada,10,2024-01-10
11,Coleta de Lixo,Centro,Baixa,Encerrada,48,2024-01-11
12,Abastecimento de Água,Vila Nova,Alta,Em Andamento,40,2024-01-12
13,Iluminação Pública,Residencial Sul,Baixa,Aberta,46,2024-01-13
14,Coleta de Lixo,Vila Nova,Baixa,Em Andamento,33,2024-01-14
15,Transporte Público,Bairro Alto,Baixa,Resolvida,56,2024-01-15
16,Abastecimento de Água,Parque Industrial,Alta,Encerrada,29,2024-01-16
17,Energia Elétrica,Centro,Baixa,Resolvida,5,2024-01-17
18,Abastecimento de Água,Vila Nova,Alta,Encerrada,51,2024-01-18
19,Coleta de Lixo,Vila Nova,Alta,Encerrada,19,2024-01-19
20,Coleta de Lixo,Residencial Sul,Média,Encerrada,9,2024-01-20
21,Coleta de Lixo,Vila Nova,Média,Resolvida,54,2024-01-21
22,Energia Elétrica,Parque Industrial,Baixa,Em Andamento,12,2024-01-22
23,Iluminação Pública,Centro,Média,Em Andamento,36,2024-01-23
24,Coleta de Lixo,Jardim das Flores,Alta,Encerrada,22,2024-01-24
25,Transporte Público,Bairro Alto,Média,Encerrada,52,2024-01-25
26,Coleta de Lixo,Jardim das Flores,Alta,Resolvida,20,2024-01-26
27,Iluminação Pública,Residencial Sul,Média,Resolvida,50,2024-01-27
28,Transporte Público,Residencial Sul,Alta,Em Andamento,28,2024-01-28
29,Coleta de Lixo,Vila Nova,Média,Encerrada,2,2024-01-29
30,Transporte Público,Parque Industrial,Média,Encerrada,6,2024-01-30
31,Transporte Público,Jardim das Flores,Média,Encerrada,43,2024-01-31
32,Iluminação Pública,Centro,Média,Em Andamento,39,2024-02-01
33,Transporte Público,Vila Nova,Baixa,Aberta,59,2024-02-02
34,Abastecimento de Água,Jardim das Flores,Alta,Em Andamento,10,2024-02-03
35,Transporte Público,Residencial Sul,Média,Resolvida,9,2024-02-04
36,Iluminação Pública,Bairro Alto,Baixa,Aberta,32,2024-02-05
37,Abastecimento de Água,Jardim das Flores,Média,Encerrada,38,2024-02-06
